District,,Member2016,Party16,Clinton16,Trump16,Dem16,State,Party18,Dem18,Flip18,Gerry
AK-AL,,"Young, Don",(R),37.6,52.8,0,AK,(R),0,0,mid
AL-01,,"Byrne, Bradley",(R),34.1,63.5,0,AL,(R),0,0,high
AL-02,,"Roby, Martha",(R),33,64.9,0,AL,(R),0,0,high
AL-03,,"Rogers, Mike D.",(R),32.3,65.3,0,AL,(R),0,0,high
AL-04,,"Aderholt, Rob",(R),17.4,80.4,0,AL,(R),0,0,high
AL-05,,"Brooks, Mo",(R),31.3,64.7,0,AL,(R),0,0,high
AL-06,,"Palmer, Gary",(R),26.1,70.8,0,AL,(R),0,0,high
AL-07,,"Sewell, Terri",(D),69.8,28.6,1,AL,(D),1,0,high
AR-01,,"Crawford, Rick",(R),30.2,65,0,AR,(R),0,0,mid
AR-02,,"Hill, French",(R),41.7,52.4,0,AR,(R),0,0,mid
AR-03,,"Womack, Steve",(R),30.5,61.9,0,AR,(R),0,0,mid
AR-04,,"Westerman, Bruce",(R),31.3,64.2,0,AR,(R),0,0,mid
AZ-01,,"O'Halleran, Tom",(D),46.6,47.7,1,AZ,(D),1,0,mid
AZ-02,,"McSally, Martha",(R),49.6,44.7,0,AZ,(D),1,1,mid
AZ-03,,"Grijalva, Raul",(D),62.4,32.5,1,AZ,(D),1,0,mid
AZ-04,,"Gosar, Paul",(R),27.5,67.7,0,AZ,(R),0,0,mid
AZ-05,,"Biggs, Andy",(R),36.5,57.6,0,AZ,(R),0,0,mid
AZ-06,,"Schweikert, David",(R),42.4,52.4,0,AZ,(R),0,0,mid
AZ-07,,"Gallego, Ruben",(D),71.8,22.6,1,AZ,(D),1,0,mid
AZ-08,,"Franks, Trent",(R),37,58.1,0,AZ,(R),0,0,mid
AZ-09,,"Sinema, Kyrsten",(D),54.7,38.4,1,AZ,(D),1,0,mid
CA-01,,"LaMalfa, Doug",(R),36.5,56.2,0,CA,(R),0,0,mid
CA-02,,"Huffman, Jared",(D),69,23.3,1,CA,(D),1,0,mid
CA-03,,"Garamendi, John",(D),53,40.4,1,CA,(D),1,0,mid
CA-04,,"McClintock, Tom",(R),39.3,54,0,CA,(R),0,0,mid
CA-05,,"Thompson, Mike",(D),69.2,24.3,1,CA,(D),1,0,mid
CA-06,,"Matsui, Doris",(D),69.2,24.4,1,CA,(D),1,0,mid
CA-07,,"Bera, Ami",(D),52.3,40.9,1,CA,(D),1,0,mid
CA-08,,"Cook, Paul",(R),39.6,54.7,0,CA,(R),0,0,mid
CA-09,,"McNerney, Jerry",(D),56.6,38,1,CA,(D),1,0,mid
CA-10,,"Denham, Jeff",(R),48.5,45.5,0,CA,(R),0,0,mid
CA-11,,"DeSaulnier, Mark",(D),71.5,22.7,1,CA,(D),1,0,mid
CA-12,,"Pelosi, Nancy",(D),86.2,8.7,1,CA,(D),1,0,mid
CA-13,,"Lee, Barbara",(D),87.4,6.8,1,CA,(D),1,0,mid
CA-14,,"Speier, Jackie",(D),76.9,18.2,1,CA,(D),1,0,mid
CA-15,,"Swalwell, Eric",(D),69.9,24.2,1,CA,(D),1,0,mid
CA-16,,"Costa, Jim",(D),58,36.4,1,CA,(D),1,0,mid
CA-17,,"Khanna, Ro",(D),73.9,20.5,1,CA,(D),1,0,mid
CA-18,,"Eshoo, Anna",(D),73.4,20.2,1,CA,(D),1,0,mid
CA-19,,"Lofgren, Zoe",(D),72.9,21.5,1,CA,(D),1,0,mid
CA-20,,"Panetta, Jimmy",(D),70.4,23.2,1,CA,(D),1,0,mid
CA-21,,"Valadao, David",(R),55.2,39.7,0,CA,(R),0,0,mid
CA-22,,"Nunes, Devin",(R),42.6,52.1,0,CA,(R),0,0,mid
CA-23,,"McCarthy, Kevin",(R),36.1,58.1,0,CA,(R),0,0,mid
CA-24,,"Carbajal, Salud",(D),56.7,36.5,1,CA,(D),1,0,mid
CA-25,,"Knight, Steve",(R),50.3,43.6,0,CA,(D),1,1,mid
CA-26,,"Brownley, Julia",(D),57.9,36,1,CA,(D),1,0,mid
