"parcel_number","sale_date","sale_price","house_square_feet","attic_finished_square_feet","basement_square_feet","attached_garage_square_feet","detached_garage_square_feet","fireplaces","hvac_description","exterior","interior","stories","roof_cover","year_built","bedrooms","bathrooms","waterfront_type","view_quality","utility_sewer"
"5000640310","01/02/2020","380000.00","2157","0","0","528","0","0","Warm and Cool Air Zone","Frame Siding","Drywall","2","Composition Shingle","1993","3","3","","","SEWER/SEPTIC INSTALLED"
"5004730010","01/02/2020","383000.00","2238","0","0","396","0","0","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2017","4","3","","","SEWER/SEPTIC INSTALLED"
"9500100020","01/01/2020","419900.00","1452","0","0","0","0","1","Forced Air","Frame Siding","Drywall","1","Built Up Rock","1965","3","2","","","SEWER/SEPTIC INSTALLED"
"5770000610","01/02/2020","251660.00","832","0","0","0","0","0","Forced Air","Frame Vinyl","Drywall","1","Composition Shingle","1919","2","1","","","SEWER/SEPTIC INSTALLED"
"7975000330","01/02/2020","500000.00","1780","0","384","484","0","1","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1955","3","2","","","SEWER/SEPTIC INSTALLED"
"7470020270","01/02/2020","250000.00","989","336","0","0","0","1","Electric Baseboard","Frame Siding","Drywall","1","Composition Shingle","1925","2","1","","","SEWER/SEPTIC INSTALLED"
"6022320140","01/02/2020","360000.00","2048","0","0","441","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","1998","4","3","","","SEWER/SEPTIC INSTALLED"
"9495500260","01/01/2020","370000.00","1118","0","0","242","0","0","Electric Baseboard","Frame Siding","Drywall","1","Composition Shingle","1968","3","1","","","SEWER/SEPTIC INSTALLED"
"9280000270","01/02/2020","485000.00","978","340","968","0","0","1","Warm and Cool Air Zone","Frame Siding","Drywall","1","Composition Shingle","1925","3","2","","","SEWER/SEPTIC INSTALLED"
"0320364029","01/02/2020","475000.00","2238","0","0","436","0","1","Heat Pump","Frame Siding","Drywall","2","Composition Shingle","2019","3","3","","","SEWER/SEPTIC INSTALLED"
"6025541700","01/01/2020","442995.00","2180","0","0","642","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2014","4","3","","","SEWER/SEPTIC INSTALLED"
"5000070170","01/02/2020","535000.00","2483","0","0","688","0","1","Forced Air","Frame Siding","Drywall","2","Wood Shake","1994","3","3","","","SEWER/SEPTIC INSTALLED"
"5220000310","01/02/2020","775000.00","2750","0","711","575","0","1","Forced Air","Frame Siding","Drywall","2","Built Up Rock","1978","3","2","","View Avg","SEWER/SEPTIC INSTALLED"
"7002810250","01/02/2020","516521.00","2738","0","0","433","0","2","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2019","4","3","","","SEWER/SEPTIC INSTALLED"
