state,state_name,age,population,state_total_population
AL,Alabama,0,56901,4903185
AL,Alabama,1,58290,4903185
AL,Alabama,2,59073,4903185
AL,Alabama,3,59799,4903185
AL,Alabama,4,60294,4903185
AL,Alabama,5,59568,4903185
AL,Alabama,6,58599,4903185
AL,Alabama,7,59537,4903185
AL,Alabama,8,60023,4903185
AL,Alabama,9,60241,4903185
AL,Alabama,10,60897,4903185
AL,Alabama,11,63083,4903185
AL,Alabama,12,62906,4903185
AL,Alabama,13,61883,4903185
AL,Alabama,14,61729,4903185
AL,Alabama,15,61740,4903185
AL,Alabama,16,61799,4903185
AL,Alabama,17,61944,4903185
AL,Alabama,18,63534,4903185
AL,Alabama,19,64598,4903185
AL,Alabama,20,63938,4903185
AL,Alabama,21,64590,4903185
AL,Alabama,22,64610,4903185
AL,Alabama,23,64459,4903185
AL,Alabama,24,64495,4903185
AL,Alabama,25,65570,4903185
AL,Alabama,26,65727,4903185
AL,Alabama,27,67597,4903185
AL,Alabama,28,69970,4903185
AL,Alabama,29,69274,4903185
AL,Alabama,30,65333,4903185
AL,Alabama,31,61947,4903185
AL,Alabama,32,60462,4903185
AL,Alabama,33,60114,4903185
AL,Alabama,34,61235,4903185
AL,Alabama,35,59402,4903185
AL,Alabama,36,60337,4903185
AL,Alabama,37,60781,4903185
AL,Alabama,38,61053,4903185
AL,Alabama,39,62572,4903185
AL,Alabama,40,58490,4903185
AL,Alabama,41,58311,4903185
AL,Alabama,42,58158,4903185
AL,Alabama,43,55776,4903185
AL,Alabama,44,58426,4903185
AL,Alabama,45,57225,4903185
AL,Alabama,46,59072,4903185
AL,Alabama,47,62141,4903185
AL,Alabama,48,65617,4903185
AL,Alabama,49,64896,4903185
AL,Alabama,50,60852,4903185
AL,Alabama,51,59593,4903185
AL,Alabama,52,59860,4903185
AL,Alabama,53,61377,4903185
AL,Alabama,54,65983,4903185
AL,Alabama,55,66948,4903185
AL,Alabama,56,66726,4903185
AL,Alabama,57,67091,4903185
AL,Alabama,58,67326,4903185
AL,Alabama,59,68229,4903185
AL,Alabama,60,65609,4903185
