state,state_name,race,hispanic,population,state_total_population
AL,Alabama,American Indian or Alaska Native,Hispanic or Latino,7823,4903185
AL,Alabama,American Indian or Alaska Native,Not Hispanic or Latino,30433,4903185
AL,Alabama,Asian or Pacific Islander,Hispanic or Latino,4833,4903185
AL,Alabama,Asian or Pacific Islander,Not Hispanic or Latino,80310,4903185
AL,Alabama,Black or African American,Hispanic or Latino,17693,4903185
AL,Alabama,Black or African American,Not Hispanic or Latino,1324613,4903185
AL,Alabama,White,Hispanic or Latino,192929,4903185
AL,Alabama,White,Not Hispanic or Latino,3244551,4903185
AK,Alaska,American Indian or Alaska Native,Hispanic or Latino,7912,731545
AK,Alaska,American Indian or Alaska Native,Not Hispanic or Latino,120349,731545
AK,Alaska,Asian or Pacific Islander,Hispanic or Latino,2100,731545
AK,Alaska,Asian or Pacific Islander,Not Hispanic or Latino,61753,731545
AK,Alaska,Black or African American,Hispanic or Latino,3936,731545
AK,Alaska,Black or African American,Not Hispanic or Latino,32019,731545
AK,Alaska,White,Hispanic or Latino,39264,731545
AK,Alaska,White,Not Hispanic or Latino,464212,731545
AZ,Arizona,American Indian or Alaska Native,Hispanic or Latino,114299,7278717
AZ,Arizona,American Indian or Alaska Native,Not Hispanic or Latino,299712,7278717
AZ,Arizona,Asian or Pacific Islander,Hispanic or Latino,32500,7278717
AZ,Arizona,Asian or Pacific Islander,Not Hispanic or Latino,284682,7278717
AZ,Arizona,Black or African American,Hispanic or Latino,61752,7278717
AZ,Arizona,Black or African American,Not Hispanic or Latino,366837,7278717
AZ,Arizona,White,Hispanic or Latino,2102039,7278717
AZ,Arizona,White,Not Hispanic or Latino,4016896,7278717
AR,Arkansas,American Indian or Alaska Native,Hispanic or Latino,8470,3017804
AR,Arkansas,American Indian or Alaska Native,Not Hispanic or Latino,25896,3017804
AR,Arkansas,Asian or Pacific Islander,Hispanic or Latino,3412,3017804
AR,Arkansas,Asian or Pacific Islander,Not Hispanic or Latino,63009,3017804
AR,Arkansas,Black or African American,Hispanic or Latino,8984,3017804
AR,Arkansas,Black or African American,Not Hispanic or Latino,482025,3017804
AR,Arkansas,White,Hispanic or Latino,215765,3017804
AR,Arkansas,White,Not Hispanic or Latino,2210243,3017804
CA,California,American Indian or Alaska Native,Hispanic or Latino,570387,39512223
CA,California,American Indian or Alaska Native,Not Hispanic or Latino,206297,39512223
CA,California,Asian or Pacific Islander,Hispanic or Latino,374873,39512223
CA,California,Asian or Pacific Islander,Not Hispanic or Latino,6303761,39512223
CA,California,Black or African American,Hispanic or Latino,403959,39512223
CA,California,Black or African American,Not Hispanic or Latino,2449181,39512223
